Order No,Order Date,Customer Name,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount Percentage,Discount Dollar,Order Total,Shipping Cost,Total
4293-1,2014/02/09,Vivek Sundaresam,Sydney,NSW,Small Business,Tina Carlton,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,2014/04/09,156.5,300.97,144.47,23,6922.31,0.02,138.4462,6783.8638,7.18,6776.6838
5001-1,2015/10/24,Shahid Hopkins,Sydney,NSW,Corporate,Natasha Song,Medium,Bagged Rubber Bands,Office Supplies,Small Pack,Regular Air,2015/10/26,0.24,1.26,1.02,8,10.08,0.03,0.3024,9.7776,0.7,9.0776
5004-1,2014/03/13,Dennis Pardue,Melbourne,VIC,Consumer,Connor Betts,Not Specified,TechSavi Cordless Navigator Duo,Office Supplies,Small Box,Regular Air,2014/03/13,42.11,80.98,38.87,45,3644.1,0.04,145.764,3498.336,7.18,3491.156
5009-1,2013/02/18,Sean Wendt,Sydney,NSW,Small Business,Phoebe Gour,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Wrap Bag,Regular Air,2013/02/20,5.33,8.6,3.27,16,137.6,0.01,1.376,136.224,6.19,130.034
5010-1,2014/09/13,Christina Vanderzanden,Sydney,NSW,Small Business,Tina Carlton,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Express Air,2014/09/17,1.53,2.78,1.25,49,136.22,0.07,9.5354,126.6846,1.34,125.3446
5011-1,2013/11/24,Patrick OBrill,Sydney,NSW,Home Office,Tina Carlton,Not Specified,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Regular Air,2013/11/26,4.59,7.28,2.69,45,327.6,0.08,26.208,301.392,11.15,290.242
5012-1,2014/07/09,Eugene Moren,Sydney,NSW,Consumer,Mihael Khan,Not Specified,Smiths Metal Binder Clips,Office Supplies,Small Box,Regular Air,2014/07/09,1.6,2.62,1.02,45,117.9,0.04,4.716,113.184,0.8,112.384
5012-1,2015/01/28,Phillip Flathmann,Sydney,NSW,Home Office,Nicholas Fernandes,Medium,Smiths Metal Binder Clips,Technology,Small Box,Regular Air,2015/01/29,1.6,2.62,1.02,34,89.08,0.02,1.7816,87.2984,0.8,86.4984
5014-1,2014/08/06,John Lee,Melbourne,VIC,Home Office,Connor Betts,Not Specified,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,2014/10/06,3.99,6.23,2.24,25,155.75,0.1,15.575,140.175,6.97,133.205
5015-1,2014/02/10,Ritsa Hightower,Sydney,NSW,Corporate,Natasha Song,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,2014/04/10,156.5,300.97,144.47,42,12640.74,0.04,505.6296,12135.1104,7.18,12127.9304
5015-1,2014/01/04,Anne Pryor,Sydney,NSW,Corporate,Aanya Zhang,Medium,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Express Air,2014/02/04,156.5,300.97,144.47,3,902.91,0.1,90.291,812.619,7.18,805.439
5016-1,2013/11/02,Alex Russell,Melbourne,VIC,Consumer,Connor Betts,Low,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Regular Air,2013/12/02,2.39,4.26,1.87,18,76.68,0.06,4.6008,72.0792,1.2,70.8792
5018-1,2013/12/29,Lena Creighton,Sydney,NSW,Small Business,Samantha Chairs,Low,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Express Air,2013/12/22,54.29,90.48,36.19,1,90.48,0.02,1.8096,88.6704,19.99,68.6804
5019-1,2013/11/18,Phillip Flathmann,Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Artisan 487 Labels,Office Supplies,Wrap Bag,Regular Air,2013/11/20,2.29,3.69,1.4,34,125.46,0.02,2.5092,122.9508,0.5,122.4508
5019-1,2013/02/13,Susan Vittorini,Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando CCalored Accent Highlighters,Office Supplies,Small Box,Regular Air,2013/02/15,3.75,7.08,3.33,33,233.64,0.08,18.6912,214.9488,2.35,212.5988
5019-1,2013/02/13,Susan Vittorini,Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando S750 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,2013/02/15,75,120.97,45.97,27,3266.19,0.08,261.2952,3004.8948,26.3,2978.5948
5020-1,2015/11/05,Bill Stewart,Sydney,NSW,Small Business,Natasha Song,Low,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Small Box,Express Air,2015/05/13,0.9,2.1,1.2,49,102.9,0.05,5.145,97.755,0.7,97.055
5021-1,2015/05/18,Brian DeCherney,Sydney,NSW,Corporate,Aanya Zhang,High,TechSavi Access Keyboard,Technology,Medium Box,Regular Air,2015/05/25,10.07,15.98,5.91,24,383.52,0.01,3.8352,379.6848,4,375.6848
5021-1,2014/06/23,Frank Hawley,Sydney,NSW,Small Business,Phoebe Gour,Medium,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,2014/06/23,1.59,2.61,1.02,22,57.42,0.07,4.0194,53.4006,0.5,52.9006
5021-1,2013/10/20,Cindy Stewart,Sydney,NSW,Home Office,Leighton Forrest,Critical,Smiths Pushpins,Office Supplies,Small Pack,Regular Air,2013/10/20,0.94,1.88,0.94,24,45.12,0.06,2.7072,42.4128,0.79,41.6228
5022-1,2013/02/22,Rick Han,Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Regular Air,2013/02/23,156.5,300.97,144.47,49,14747.53,0.07,1032.3271,13715.2029,7.18,13708.0229
5023-1,2013/02/17,Olvera Toch,Melbourne,VIC,Small Business,Yvette Biti,Low,12 Colored Short Pencils,Furniture,Small Pack,Regular Air,2013/02/22,1.09,2.6,1.51,8,20.8,0,0,20.8,2.4,18.4
5023-1,2013/02/17,Olvera Toch,Melbourne,VIC,Home Office,Yvette Biti,Medium,12 Colored Short Pencils,Furniture,Large Box,Regular Air,2013/02/22,1.09,2.6,1.51,21,54.6,0.05,2.73,51.87,2.4,49.47
5023-1,2013/02/17,Olvera Toch,Melbourne,VIC,Home Office,Yvette Biti,High,12 Colored Short Pencils,Technology,Small Box,Regular Air,2013/02/22,1.09,2.6,1.51,37,96.2,0.1,9.62,86.58,2.4,84.18
5023-1,2013/02/17,Olvera Toch,Melbourne,VIC,Corporate,Yvette Biti,High,1726 Digital Answering Machine,Office Supplies,Small Box,Express Air,2013/02/22,8.82,20.99,12.17,24,503.76,0.07,35.2632,468.4968,4.81,463.6868
5023-1,2014/04/06,Frank Merwin,Sydney,NSW,Corporate,Radhya Staples,Critical,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,2014/05/06,8.82,20.99,12.17,29,608.71,0.07,42.6097,566.1003,4.81,561.2903
5024-1,2015/05/22,Thomas Boland,Sydney,NSW,Corporate,Mihael Khan,Medium,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Express Air,2015/05/24,4.53,7.3,2.77,14,102.2,0.02,2.044,100.156,7.72,92.436
5024-1,2014/10/13,Bart Watters,Sydney,NSW,Corporate,Nicholas Fernandes,Low,3Max Organizer Strips,Office Supplies,Small Box,Regular Air,2014/10/15,3.4,5.4,2,42,226.8,0.01,2.268,224.532,7.78,216.752
5024-1,2013/02/18,Sean Wendt,Sydney,NSW,Corporate,Phoebe Gour,Medium,Multimedia Mailers,Office Supplies,Small Box,Regular Air,2013/02/20,99.39,162.93,63.54,48,7820.64,0.02,156.4128,7664.2272,19.99,7644.2372
5024-1,2013/09/12,Dan Campbell,Sydney,NSW,Consumer,Leighton Forrest,High,Multimedia Mailers,Technology,Small Box,Express Air,2013/09/12,99.39,162.93,63.54,40,6517.2,0.03,195.516,6321.684,19.99,6301.694
5024-1,2014/02/09,Vivek Sundaresam,Sydney,NSW,Consumer,Tina Carlton,Low,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Express Air,2014/04/09,4.79,11.97,7.18,41,490.77,0.05,24.5385,466.2315,5.81,460.4215
5024-1,2014/02/25,Bebby Elias,Melbourne,VIC,Consumer,Connor Betts,High,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Small Box,Regular Air,2014/02/26,21.56,36.55,14.99,22,804.1,0.1,80.41,723.69,13.89,709.8
5024-1,2013/02/18,Sean Wendt,Sydney,NSW,Corporate,Phoebe Gour,Critical,Multimedia Mailers,Office Supplies,Small Box,Express Air,2013/02/20,99.39,162.93,63.54,47,7657.71,0.09,689.1939,6968.5161,19.99,6948.5261
5024-1,2013/02/18,Sean Wendt,Sydney,NSW,Consumer,Phoebe Gour,High,Multimedia Mailers,Office Supplies,Small Box,Express Air,2013/02/20,99.39,162.93,63.54,50,8146.5,0.07,570.255,7576.245,19.99,7556.255
5024-1,2015/02/18,Sandra Glassco,Melbourne,VIC,Home Office,Connor Betts,Critical,Artisan Binder Labels,Technology,Medium Box,Regular Air,2015/02/21,2.45,3.89,1.44,8,31.12,0.09,2.8008,28.3192,7.01,21.3092
5025-1,2015/08/06,Jack OBriant,Sydney,NSW,Corporate,Mihael Khan,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2015/09/06,1.09,1.68,0.59,1,1.68,0,0,1.68,1,0.68
5025-1,2013/02/20,Rick Reed,Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013/02/22,1.09,1.68,0.59,34,57.12,0.1,5.712,51.408,1,50.408
5025-1,2013/02/20,Rick Reed,Sydney,NSW,Small Business,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013/02/22,1.09,1.68,0.59,18,30.24,0.08,2.4192,27.8208,1,26.8208
5025-1,2015/07/23,Magdelene Morse,Sydney,NSW,Corporate,Tina Carlton,Not Specified,TechSavi Cordless Elite Duo,Office Supplies,Small Box,Regular Air,2015/07/30,60.59,100.98,40.39,14,1413.72,0.1,141.372,1272.348,7.18,1265.168
5025-1,2013/02/20,Rick Reed,Sydney,NSW,Home Office,Phoebe Gour,High,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,Regular Air,2013/02/22,1.09,1.68,0.59,29,48.72,0.03,1.4616,47.2584,1,46.2584
5025-1,2013/02/20,Giulietta Dortch,Melbourne,VIC,Corporate,Connor Betts,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Express Air,2013/02/22,1.09,1.68,0.59,39,65.52,0.07,4.5864,60.9336,1,59.9336
5025-1,2013/08/17,Valerie Dominguez,Sydney,NSW,Home Office,Tina Carlton,High,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,2013/08/17,8.82,20.99,12.17,16,335.84,0.02,6.7168,329.1232,4.81,324.3132
5025-1,2013/03/10,Eric Barreto,Sydney,NSW,Corporate,Phoebe Gour,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2013/04/10,4.59,7.28,2.69,19,138.32,0.04,5.5328,132.7872,11.15,121.6372
5025-1,2014/12/09,Gary Hansen,Sydney,NSW,Consumer,Leighton Forrest,Low,UGen Ultra Professional Cordless Optical Suite,Technology,Jumbo Drum,Delivery Truck,2014/09/19,156.5,300.97,144.47,4,1203.88,0.06,72.2328,1131.6472,7.18,1124.4672
5025-1,2014/07/30,Denny Joy,Melbourne,VIC,Consumer,Connor Betts,Not Specified,Smiths General Use 3-Ring Binders,Technology,Small Box,Regular Air,2014/01/08,1.18,1.88,0.7,39,73.32,0.09,6.5988,66.7212,1.49,65.2312
5026-1,2013/05/21,Kelly Lampkin,Sydney,NSW,Corporate,Aanya Zhang,Medium,Binder Clips by OIC,Technology,Small Pack,Regular Air,2013/05/23,0.93,1.48,0.55,16,23.68,0,0,23.68,0.7,22.98
5026-1,2013/05/31,Raymond Fair,Sydney,NSW,Home Office,Tina Carlton,High,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,2013/02/06,1.59,2.61,1.02,41,107.01,0.05,5.3505,101.6595,0.5,101.1595
5027-1,2013/07/29,Nick Zandusky,Melbourne,VIC,Home Office,Connor Betts,Low,Artisan Binder Labels,Technology,Small Box,Regular Air,2013/07/30,2.45,3.89,1.44,29,112.81,0.04,4.5124,108.2976,7.01,101.2876
5027-1,2014/01/13,Ashley Jarboe,Melbourne,VIC,Small Business,Connor Betts,High,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,2014/01/18,1.59,2.61,1.02,45,117.45,0.06,7.047,110.403,0.5,109.903
5027-1,2013/10/25,Dan Campbell,Sydney,NSW,Consumer,Leighton Forrest,Medium,Apex Straight Scissors,Technology,Large Box,Regular Air,2013/10/27,5.19,12.98,7.79,10,129.8,0.01,1.298,128.502,3.14,125.362
5027-1,2013/10/13,Sylvia Foulston,Sydney,NSW,Small Business,Tina Carlton,High,Emerson Stylus 1520 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,2013/10/13,75,120.97,45.97,31,3750.07,0.06,225.0042,3525.0658,26.3,3498.7658
5027-1,2016/01/19,Tamara Willingham,Sydney,NSW,Corporate,Phoebe Gour,Not Specified,TechSavi Access Keyboard,Office Supplies,Small Pack,Regular Air,2016/01/19,10.07,15.98,5.91,4,63.92,0.02,1.2784,62.6416,4,58.6416
5027-1,2013/07/22,Edward Becker,Sydney,NSW,Corporate,Samantha Chairs,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Pack,Regular Air,2013/07/26,156.5,300.97,144.47,9,2708.73,0.07,189.6111,2519.1189,7.18,2511.9389
5027-1,2013/02/22,Bill Donatelli,Sydney,NSW,Home Office,Phoebe Gour,Low,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Small Box,Regular Air,2013/02/28,21.56,35.94,14.38,11,395.34,0.01,3.9534,391.3866,6.66,384.7266
5028-1,2015/06/19,Fredhen Memon,Sydney,NSW,Corporate,Mihael Khan,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Technology,Small Box,Regular Air,2015/06/21,2.98,5.84,2.86,7,40.88,0.01,0.4088,40.4712,0.83,39.6412
5028-1,2013/09/10,Frank Merwin,Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Artisan 474 Labels,Furniture,Large Box,Regular Air,2013/11/10,1.84,2.88,1.04,17,48.96,0,0,48.96,0.99,47.97
5029-1,2013/02/23,Giulietta Weimer,Sydney,NSW,Home Office,Natasha Song,Medium,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Pack,Regular Air,2013/02/23,5.33,8.6,3.27,22,189.2,0.07,13.244,175.956,6.19,169.766
5029-1,2014/02/06,Arthur Gainer,Melbourne,VIC,Home Office,Connor Betts,High,Artisan 479 Labels,Technology,Medium Box,Regular Air,2014/04/06,1.59,2.61,1.02,7,18.27,0.03,0.5481,17.7219,0.5,17.2219
5029-1,2013/02/23,Giulietta Weimer,Sydney,NSW,Corporate,Natasha Song,High,Artisan Printable Repositionable Plastic Tabs,Technology,Jumbo Drum,Delivery Truck,2013/02/23,5.33,8.6,3.27,13,111.8,0.04,4.472,107.328,6.19,101.138
5029-1,2015/12/11,Michael Oakman,Melbourne,VIC,Corporate,Connor Betts,Not Specified,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Regular Air,2015/11/14,54.29,90.48,36.19,40,3619.2,0.1,361.92,3257.28,19.99,3237.29
5029-1,2013/05/20,Christy Brittain,Sydney,NSW,Corporate,Mihael Khan,Low,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2013/05/22,5.33,8.6,3.27,19,163.4,0.1,16.34,147.06,6.19,140.87
